 Run#  Vfa              Vfb              Vfc              Ifa              Ifb              Ifc              Time                                                               
     1  159.0132565      159.0436008      203.1025560      18.24382148      21.15021377      3.337498880     0.8154622162E-01
     2  159.0132565      159.0436008      204.3677923      24.18254919      18.82817839      3.337498880     0.8734681752E-01
     3  159.0132565      159.0436008      203.2808467      22.52726035      16.56889566      3.337498880     0.8796212365E-01
     4  159.0132565      159.0436008      203.6395918      17.96912832      20.03281005      3.337498880     0.8941223433E-01
     5  159.0132565      159.0436008      203.4424391      17.98578160      20.90645254      3.337498880     0.8142242026E-01
     6  159.0132565      159.0436008      204.4089821      25.37836239      21.21620612      3.337498880     0.8661725103E-01
     7  159.0132565      159.0436008      206.2785887      25.82708701      22.57798321      3.337498880     0.8613810019E-01
     8  159.0132565      159.0436008      218.5497582      22.13513496      24.08610682      3.337498880     0.8304995850E-01
     9  159.0132565      159.0436008      203.7742228      18.99265620      18.98339895      3.337498880     0.8065256602E-01
    10  159.0132565      159.0436008      204.7050057      23.35784134      17.47484672      3.337498880     0.8767704697E-01
    11  159.0132565      159.0436008      202.9559597      22.07179120      16.71105564      3.337498880     0.8812846137E-01
    12  159.0132565      159.0436008      208.1523656      25.70321390      24.47764426      3.337498880     0.8505026636E-01
    13  159.0132565      159.0436008      203.3141197      18.17660419      21.03359424      3.337498880     0.8982670396E-01
    14  159.0132565      159.0436008      204.4968748      23.96209833      18.44975608      3.337498880     0.8741339303E-01
    15  159.0132565      159.0436008      202.7379413      25.01883822      20.41964188      3.337498880     0.8689664966E-01
    16  159.0132565      159.0436008      209.5025775      19.42453377      22.18647624      3.337498880     0.8199088306E-01
    17  159.0132565      159.0436008      203.7430447      18.60234169      19.24592599      3.337498880     0.8077163294E-01
    18  159.0132565      159.0436008      203.9038334      19.66437093      18.46516454      3.337498880     0.8883482151E-01
    19  159.0132565      159.0436008      202.6843618      25.09695121      20.58456810      3.337498880     0.8684514292E-01
    20  159.0132565      159.0436008      206.1827821      25.69147696      22.06748846      3.337498880     0.8631704018E-01
    21  159.0132565      159.0436008      203.9790115      19.75329608      18.45553940      3.337498880     0.8049427402E-01
    22  159.0132565      159.0436008      204.2295934      24.28807754      19.01443463      3.337498880     0.8726341433E-01
    23  159.0132565      159.0436008      206.3375126      25.76632220      22.32751550      3.337498880     0.8620460470E-01
    24  159.0132565      159.0436008      203.7430447      18.60234169      19.24592599      3.337498880     0.8079127626E-01
    25  159.0132565      159.0436008      203.7525905      19.09485090      18.86078464      3.337498880     0.8898003444E-01
    26  159.0132565      159.0436008      204.4968748      23.96209833      18.44975608      3.337498880     0.8743883780E-01
    27  159.0132565      159.0436008      224.2053011      25.10276807      24.87661453      3.337498880     0.8454691880E-01
    28  159.0132565      159.0436008      203.5456311      21.17613469      17.40240188      3.337498880     0.8006429323E-01
    29  159.0132565      159.0436008      203.8711617      19.37651702      18.71981827      3.337498880     0.8057623805E-01
    30  159.0132565      159.0436008      216.6003045      25.47394665      24.70245340      3.337498880     0.8483291297E-01
    31  159.0132565      159.0436008      202.7788880      25.17221841      20.74680794      3.337498880     0.8676828327E-01
    32  159.0132565      159.0436008      224.2053011      25.10276807      24.87661453      3.337498880     0.8453699255E-01
    33  159.0132565      159.0436008      223.5100082      22.61513197      24.33460140      3.337498880     0.8323372770E-01
    34  159.0132565      159.0436008      203.6928476      18.15786629      19.64586773      3.337498880     0.8926141789E-01
    35  159.0132565      159.0436008      203.9378865      25.31314745      21.06283688      3.337498880     0.8665050221E-01
    36  159.0132565      159.0436008      211.7563452      25.62080048      24.57663769      3.337498880     0.8499064103E-01
    37  159.0132565      159.0436008      204.6146282      23.22751661      17.27664481      3.337498880     0.8770371316E-01
    38  159.0132565      159.0436008      206.1827821      25.69147696      22.06748846      3.337498880     0.8630714055E-01
    39  159.0132565      159.0436008      229.8531109      24.48226635      24.93794584      3.337498880     0.8411122028E-01
    40  159.0132565      159.0436008      204.2295934      24.28807754      19.01443463      3.337498880     0.8727932019E-01
    41  159.0132565      159.0436008      228.5454591      23.30214724      24.63436334      3.337498880     0.8353451706E-01
    42  159.0132565      159.0436008      221.9859007      25.23714765      24.82997995      3.337498880     0.8462817739E-01
    43  159.0132565      159.0436008      204.7938427      25.93277913      23.37362203      3.337498880     0.8577739029E-01
    44  159.0132565      159.0436008      203.8711617      19.37651702      18.71981827      3.337498880     0.8059852489E-01
    45  159.0132565      159.0436008      203.6395918      17.96912832      20.03281005      3.337498880     0.8940787634E-01
    46  159.0132565      159.0436008      203.0061147      21.91451541      16.76281701      3.337498880     0.8817762174E-01
    47  159.0132565      159.0436008      203.5668360      17.88062565      20.53320429      3.337498880     0.8128859982E-01
    48  159.0132565      159.0436008      204.5456812      23.84746033      18.25779145      3.337498880     0.8749716709E-01
    49  159.0132565      159.0436008      215.0611794      25.52595594      24.66338032      3.337498880     0.8488732388E-01
    50  159.0132565      159.0436008      203.5668360      17.88062565      20.53320429      3.337498880     0.8125245200E-01
    51  159.0132565      159.0436008      202.9612018      18.56669365      21.39324359      3.337498880     0.8996077455E-01
    52  159.0132565      159.0436008      203.7510196      18.79836412      19.11481521      3.337498880     0.8073780254E-01
    53  159.0132565      159.0436008      203.8795441      20.65924198      17.79540513      3.337498880     0.8024721649E-01
    54  159.0132565      159.0436008      211.7563452      25.62080048      24.57663769      3.337498880     0.8496747274E-01
    55  159.0132565      159.0436008      203.2910700      21.42862217      17.15066172      3.337498880     0.8831429369E-01
    56  159.0132565      159.0436008      203.2910700      21.42862217      17.15066172      3.337498880     0.8833400377E-01
    57  159.0132565      159.0436008      203.5804539      17.86592661      20.53983796      3.337498880     0.8960128325E-01
    58  159.0132565      159.0436008      203.9363396      19.85031016      18.33304778      3.337498880     0.8876766422E-01
    59  159.0132565      159.0436008      202.9559597      22.07179120      16.71105564      3.337498880     0.8813258595E-01
    60  159.0132565      159.0436008      226.9299360      24.88449092      24.92393316      3.337498880     0.8437201902E-01
    61  159.0132565      159.0436008      203.9305971      19.56587988      18.58774213      3.337498880     0.8052367053E-01
    62  159.0132565      159.0436008      203.5154911      17.85416332      20.65852519      3.337498880     0.8133052265E-01
    63  159.0132565      159.0436008      211.5728719      19.68982222      22.40203621      3.337498880     0.8209415634E-01
    64  159.0132565      159.0436008      205.5702547      25.55171507      21.65646861      3.337498880     0.8648557185E-01
    65  159.0132565      159.0436008      218.5497582      22.13513496      24.08610682      3.337498880     0.8300616655E-01
    66  159.0132565      159.0436008      221.9859007      25.23714765      24.82997995      3.337498880     0.8464115667E-01
    67  159.0132565      159.0436008      230.7305603      24.12225105      24.88935985      3.337498880     0.8392021538E-01
    68  159.0132565      159.0436008      203.3346424      24.67816012      19.73628985      3.337498880     0.8705988174E-01
    69  159.0132565      159.0436008      202.8681600      25.89171447      24.01272532      3.337498880     0.8543235406E-01
    70  159.0132565      159.0436008      202.9866524      18.37349900      21.27035091      3.337498880     0.8157469766E-01
    71  159.0132565      159.0436008      205.6275074      25.90718580      23.05007423      3.337498880     0.8594354173E-01
    72  159.0132565      159.0436008      221.1888399      22.37688498      24.21522890      3.337498880     0.8310585269E-01
    73  159.0132565      159.0436008      203.5456311      21.17613469      17.40240188      3.337498880     0.8006614701E-01
    74  159.0132565      159.0436008      203.3843519      18.76463000      21.62323270      3.337498880     0.8173277928E-01
    75  159.0132565      159.0436008      217.4070858      21.64144026      23.79846512      3.337498880     0.8282137727E-01
    76  159.0132565      159.0436008      203.8583145      19.47644331      18.59719534      3.337498880     0.8888778204E-01
    77  159.0132565      159.0436008      202.8387201      24.85427845      20.08278571      3.337498880     0.8695267584E-01
    78  159.0132565      159.0436008      229.5809898      23.51846659      24.71492907      3.337498880     0.8362284842E-01
    79  159.0132565      159.0436008      203.6966051      18.22920163      19.51583408      3.337498880     0.8921341443E-01
    80  159.0132565      159.0436008      203.0723098      18.30623477      21.15468037      3.337498880     0.8985631359E-01
    81  159.0132565      159.0436008      208.1523656      25.70321390      24.47764426      3.337498880     0.8506255230E-01
    82  159.0132565      159.0436008      206.1827821      25.69147696      22.06748846      3.337498880     0.8631645654E-01
    83  159.0132565      159.0436008      203.7742228      18.99265620      18.98339895      3.337498880     0.8068509411E-01
    84  159.0132565      159.0436008      226.9299360      24.88449092      24.92393316      3.337498880     0.8437664509E-01
    85  159.0132565      159.0436008      203.1823833      21.59279707      17.02098768      3.337498880     0.8827403156E-01
    86  159.0132565      159.0436008      202.9941651      18.50355025      21.38925508      3.337498880     0.8164843000E-01
    87  159.0132565      159.0436008      205.4445577      25.77334190      24.36419841      3.337498880     0.8516302390E-01
    88  159.0132565      159.0436008      213.4463565      25.57492326      24.62144731      3.337498880     0.8494265349E-01
    89  159.0132565      159.0436008      203.6439664      17.93256529      20.28021655      3.337498880     0.8117718638E-01
    90  159.0132565      159.0436008      211.7563452      25.62080048      24.57663769      3.337498880     0.8497140632E-01
    91  159.0132565      159.0436008      226.1026543      24.95919729      24.91136525      3.337498880     0.8442598273E-01
    92  159.0132565      159.0436008      204.5456812      23.84746033      18.25779145      3.337498880     0.8749178553E-01
    93  159.0132565      159.0436008      226.1026543      24.95919729      24.91136525      3.337498880     0.8443946136E-01
    94  159.0132565      159.0436008      230.4553878      24.30681318      24.92056082      3.337498880     0.8402706118E-01
    95  159.0132565      159.0436008      217.4070858      21.64144026      23.79846512      3.337498880     0.8281717776E-01
    96  159.0132565      159.0436008      203.2910700      21.42862217      17.15066172      3.337498880     0.8830668830E-01
    97  159.0132565      159.0436008      203.9305971      19.56587988      18.58774213      3.337498880     0.8051021915E-01
    98  159.0132565      159.0436008      204.5864724      25.83069305      24.23460311      3.337498880     0.8525332440E-01
    99  159.0132565      159.0436008      217.5453223      21.13324578      23.47105396      3.337498880     0.8262317995E-01
   100  159.0132565      159.0436008      204.4514826      23.09390895      17.07727918      3.337498880     0.8778545281E-01
   101  159.0132565      159.0436008      203.6707616      21.00611215      17.53312545      3.337498880     0.8010534664E-01
   102  159.0132565      159.0436008      203.8711617      19.37651702      18.71981827      3.337498880     0.8056092631E-01
   103  159.0132565      159.0436008      204.5456812      23.84746033      18.25779145      3.337498880     0.8748843036E-01
   104  159.0132565      159.0436008      202.9026920      22.37836117      16.61622128      3.337498880     0.8804914036E-01
   105  159.0132565      159.0436008      208.3550825      19.29205176      22.07651294      3.337498880     0.8190206568E-01
   106  159.0132565      159.0436008      202.9026920      22.37836117      16.61622128      3.337498880     0.8801785778E-01
   107  159.0132565      159.0436008      206.2785887      25.82708701      22.57798321      3.337498880     0.8613565742E-01
   108  159.0132565      159.0436008      209.5025775      19.42453377      22.18647624      3.337498880     0.8199423411E-01
   109  159.0132565      159.0436008      203.3346424      24.67816012      19.73628985      3.337498880     0.8709276883E-01
   110  159.0132565      159.0436008      203.0061147      21.91451541      16.76281701      3.337498880     0.8816576982E-01
   111  159.0132565      159.0436008      211.5728719      19.68982222      22.40203621      3.337498880     0.8209341470E-01
   112  159.0132565      159.0436008      230.4553878      24.30681318      24.92056082      3.337498880     0.8402090485E-01
   113  159.0132565      159.0436008      203.6814786      18.08583347      19.77540240      3.337498880     0.8934788033E-01
   114  159.0132565      159.0436008      203.3141197      18.17660419      21.03359424      3.337498880     0.8982476275E-01
   115  159.0132565      159.0436008      218.0631047      25.41897000      24.73862613      3.337498880     0.8478760750E-01
   116  159.0132565      159.0436008      204.0814187      25.85436827      24.16425843      3.337498880     0.8531921725E-01
   117  159.0132565      159.0436008      203.5456311      21.17613469      17.40240188      3.337498880     0.8008424863E-01
   118  159.0132565      159.0436008      205.8443154      25.89217179      22.93604345      3.337498880     0.8596668366E-01
   119  159.0132565      159.0436008      211.5728719      19.68982222      22.40203621      3.337498880     0.8205222140E-01
   120  159.0132565      159.0436008      203.0078197      18.63393654      21.50689130      3.337498880     0.8168509701E-01
   121  159.0132565      159.0436008      203.4424391      17.98578160      20.90645254      3.337498880     0.8142542685E-01
   122  159.0132565      159.0436008      203.6105695      24.58543767      19.55938358      3.337498880     0.8714906506E-01
   123  159.0132565      159.0436008      227.6762563      24.80785999      24.93325977      3.337498880     0.8433640324E-01
   124  159.0132565      159.0436008      208.3550825      19.29205176      22.07651294      3.337498880     0.8192929618E-01
   125  159.0132565      159.0436008      204.0568671      25.93432474      23.57297887      3.337498880     0.8568084428E-01
   126  159.0132565      159.0436008      203.6519269      22.67322934      16.52164941      3.337498880     0.8794979476E-01
   127  159.0132565      159.0436008      214.1151220      20.08737872      22.71376292      3.337498880     0.8220049918E-01
   128  159.0132565      159.0436008      230.5254798      23.82919393      24.81611257      3.337498880     0.8378976297E-01
   129  159.0132565      159.0436008      224.2053011      25.10276807      24.87661453      3.337498880     0.8454628311E-01
   130  159.0132565      159.0436008      203.6631158      18.01312547      19.90439655      3.337498880     0.8938028176E-01
   131  159.0132565      159.0436008      226.9299360      24.88449092      24.92393316      3.337498880     0.8439551017E-01
   132  159.0132565      159.0436008      204.0814187      25.85436827      24.16425843      3.337498880     0.8533942486E-01
   133  159.0132565      159.0436008      203.5813312      17.91917343      20.78865270      3.337498880     0.8971369062E-01
   134  159.0132565      159.0436008      203.2808467      22.52726035      16.56889566      3.337498880     0.8799818407E-01
   135  159.0132565      159.0436008      202.2784396      25.90561353      23.93157801      3.337498880     0.8547969563E-01
   136  159.0132565      159.0436008      204.0640440      24.39041395      19.19842232      3.337498880     0.8724448501E-01
   137  159.0132565      159.0436008      202.9284060      22.22648862      16.66361246      3.337498880     0.8805956376E-01
   138  159.0132565      159.0436008      203.3346424      24.67816012      19.73628985      3.337498880     0.8708814129E-01
   139  159.0132565      159.0436008      204.0135623      20.12206611      18.19097431      3.337498880     0.8039067746E-01
   140  159.0132565      159.0436008      206.2785887      25.82708701      22.57798321      3.337498880     0.8611609682E-01
   141  159.0132565      159.0436008      223.5100082      22.61513197      24.33460140      3.337498880     0.8323921916E-01
   142  159.0132565      159.0436008      202.9866524      18.37349900      21.27035091      3.337498880     0.8155638182E-01
   143  159.0132565      159.0436008      202.9559597      22.07179120      16.71105564      3.337498880     0.8810927270E-01
   144  159.0132565      159.0436008      217.1501778      20.87443692      23.29291199      3.337498880     0.8254632906E-01
   145  159.0132565      159.0436008      206.3115210      25.79850073      22.45389515      3.337498880     0.8615246265E-01
   146  159.0132565      159.0436008      226.1026543      24.95919729      24.91136525      3.337498880     0.8443983953E-01
   147  159.0132565      159.0436008      204.0135623      20.12206611      18.19097431      3.337498880     0.8038293391E-01
   148  159.0132565      159.0436008      205.8443154      25.89217179      22.93604345      3.337498880     0.8597030671E-01
   149  159.0132565      159.0436008      216.8761197      21.89007009      23.94720051      3.337498880     0.8294489611E-01
   150  159.0132565      159.0436008      215.0611794      25.52595594      24.66338032      3.337498880     0.8486885551E-01
   151  159.0132565      159.0436008      203.7448182      18.26662084      19.50706170      3.337498880     0.8085449920E-01
   152  159.0132565      159.0436008      202.9866524      18.37349900      21.27035091      3.337498880     0.8156798886E-01
   153  159.0132565      159.0436008      222.3894429      22.49648173      24.27612835      3.337498880     0.8318872675E-01
   154  159.0132565      159.0436008      216.8761197      21.89007009      23.94720051      3.337498880     0.8293056257E-01
   155  159.0132565      159.0436008      230.6340375      24.21566216      24.90674367      3.337498880     0.8396507028E-01
   156  159.0132565      159.0436008      203.7416076      18.19545940      19.63699899      3.337498880     0.8093615287E-01
   157  159.0132565      159.0436008      230.7305603      24.12225105      24.88935985      3.337498880     0.8392129065E-01
   158  159.0132565      159.0436008      206.2391427      25.73981555      24.42290213      3.337498880     0.8513198579E-01
   159  159.0132565      159.0436008      224.5502295      22.73280100      24.39065798      3.337498880     0.8328508909E-01
   160  159.0132565      159.0436008      216.8363732      20.74430010      23.20064169      3.337498880     0.8249233788E-01
   161  159.0132565      159.0436008      203.9613336      20.03420435      18.20090489      3.337498880     0.8872267012E-01
   162  159.0132565      159.0436008      208.3550825      19.29205176      22.07651294      3.337498880     0.8191677825E-01
   163  159.0132565      159.0436008      204.5864724      25.83069305      24.23460311      3.337498880     0.8529207279E-01
   164  159.0132565      159.0436008      230.7446946      24.02664534      24.86838955      3.337498880     0.8386741864E-01
   165  159.0132565      159.0436008      203.5813312      17.91917343      20.78865270      3.337498880     0.8970503941E-01
   166  159.0132565      159.0436008      217.3865187      21.00417601      23.38309971      3.337498880     0.8259739153E-01
   167  159.0132565      159.0436008      226.9299360      24.88449092      24.92393316      3.337498880     0.8435947968E-01
   168  159.0132565      159.0436008      203.4838304      18.04747929      20.91163970      3.337498880     0.8977504258E-01
   169  159.0132565      159.0436008      203.6926430      18.50893298      19.25444871      3.337498880     0.8914064771E-01
   170  159.0132565      159.0436008      202.7379413      25.01883822      20.41964188      3.337498880     0.8686598204E-01
   171  159.0132565      159.0436008      204.8345740      25.43986846      21.36611976      3.337498880     0.8656013457E-01
   172  159.0132565      159.0436008      206.3115210      25.79850073      22.45389515      3.337498880     0.8618178691E-01
   173  159.0132565      159.0436008      204.2295934      24.28807754      19.01443463      3.337498880     0.8729253013E-01
   174  159.0132565      159.0436008      203.1219206      25.92486578      23.75898956      3.337498880     0.8555389937E-01
   175  159.0132565      159.0436008      226.9299360      24.88449092      24.92393316      3.337498880     0.8438675731E-01
   176  159.0132565      159.0436008      203.0877541      21.75480993      16.89169386      3.337498880     0.8823005765E-01
   177  159.0132565      159.0436008      217.3865187      21.00417601      23.38309971      3.337498880     0.8257894513E-01
   178  159.0132565      159.0436008      227.6762563      24.80785999      24.93325977      3.337498880     0.8433085324E-01
   179  159.0132565      159.0436008      203.9484702      20.21599748      18.06879954      3.337498880     0.8865047937E-01
   180  159.0132565      159.0436008      203.9102948      20.39563356      17.93679677      3.337498880     0.8860672631E-01
   181  159.0132565      159.0436008      223.5100082      22.61513197      24.33460140      3.337498880     0.8324905359E-01
   182  159.0132565      159.0436008      202.6843618      25.09695121      20.58456810      3.337498880     0.8684366559E-01
   183  159.0132565      159.0436008      203.2976589      18.11456487      21.02889293      3.337498880     0.8148764891E-01
   184  159.0132565      159.0436008      216.8761197      21.89007009      23.94720051      3.337498880     0.8291525618E-01
   185  159.0132565      159.0436008      203.3944661      25.24436696      20.90635721      3.337498880     0.8671059092E-01
   186  159.0132565      159.0436008      213.4463565      25.57492326      24.62144731      3.337498880     0.8490157360E-01
   187  159.0132565      159.0436008      203.7510196      18.79836412      19.11481521      3.337498880     0.8074756903E-01
   188  159.0132565      159.0436008      226.9299360      24.88449092      24.92393316      3.337498880     0.8439263298E-01
   189  159.0132565      159.0436008      202.8387201      24.85427845      20.08278571      3.337498880     0.8698255886E-01
   190  159.0132565      159.0436008      205.3787617      25.91892721      23.16110344      3.337498880     0.8586671255E-01
   191  159.0132565      159.0436008      205.9435567      19.02774181      21.85240528      3.337498880     0.8183788440E-01
   192  159.0132565      159.0436008      203.6814786      18.08583347      19.77540240      3.337498880     0.8932307890E-01
   193  159.0132565      159.0436008      217.1128198      22.01302758      24.01787818      3.337498880     0.8298701407E-01
   194  159.0132565      159.0436008      217.6305726      21.38908604      23.63975443      3.337498880     0.8274540653E-01
   195  159.0132565      159.0436008      210.5752125      19.55714947      22.29499804      3.337498880     0.8204749068E-01
   196  159.0132565      159.0436008      213.3429444      19.95501470      22.61146325      3.337498880     0.8217591601E-01
   197  159.0132565      159.0436008      203.8155190      19.18526042      18.85171896      3.337498880     0.8062039008E-01
   198  159.0132565      159.0436008      202.7379413      25.01883822      20.41964188      3.337498880     0.8689614061E-01
   199  159.0132565      159.0436008      227.1882850      23.07898069      24.54425748      3.337498880     0.8343517445E-01
   200  159.0132565      159.0436008      211.7563452      25.62080048      24.57663769      3.337498880     0.8497701271E-01
   201  159.0132565      159.0436008      203.9484702      20.21599748      18.06879954      3.337498880     0.8865265112E-01
   202  159.0132565      159.0436008      206.2391427      25.73981555      24.42290213      3.337498880     0.8510742552E-01
   203  159.0132565      159.0436008      203.9305971      19.56587988      18.58774213      3.337498880     0.8050077357E-01
   204  159.0132565      159.0436008      205.2388106      25.49764358      21.51273270      3.337498880     0.8650137201E-01
   205  159.0132565      159.0436008      203.8537562      20.57333416      17.80495898      3.337498880     0.8855941481E-01
   206  159.0132565      159.0436008      202.9284060      22.22648862      16.66361246      3.337498880     0.8808477143E-01
   207  159.0132565      159.0436008      203.7430447      18.60234169      19.24592599      3.337498880     0.8075337973E-01
   208  159.0132565      159.0436008      211.5728719      19.68982222      22.40203621      3.337498880     0.8205312089E-01
   209  159.0132565      159.0436008      202.6843618      25.09695121      20.58456810      3.337498880     0.8680274666E-01
   210  159.0132565      159.0436008      230.5254798      23.82919393      24.81611257      3.337498880     0.8376313783E-01
   211  159.0132565      159.0436008      203.3346424      24.67816012      19.73628985      3.337498880     0.8705757665E-01
   212  159.0132565      159.0436008      203.9378865      25.31314745      21.06283688      3.337498880     0.8669073053E-01
   213  159.0132565      159.0436008      203.6740582      17.95802558      20.15266584      3.337498880     0.8110809865E-01
   214  159.0132565      159.0436008      230.6763184      23.92893074      24.84392315      3.337498880     0.8381393121E-01
   215  159.0132565      159.0436008      203.7510196      18.79836412      19.11481521      3.337498880     0.8074181315E-01
