 Run#  Vfa              Vfb              Vfc              Ifa              Ifb              Ifc              Time                                                               
     1  159.0132565      203.4072897      159.0798204      19.70736344      3.288328591      24.71523759     0.8154622162E-01
     2  159.0132565      223.7678494      159.0798204      24.83823381      3.288328591      25.11951888     0.8734681752E-01
     3  159.0132565      205.2472961      159.0798204      24.30676774      3.288328591      25.77308261     0.8796212365E-01
     4  159.0132565      204.1960520      159.0798204      21.11677855      3.288328591      25.33426541     0.8941223433E-01
     5  159.0132565      202.8708005      159.0798204      20.05430404      3.288328591      24.89195823     0.8142242026E-01
     6  159.0132565      230.7255885      159.0798204      24.82603475      3.288328591      23.95841723     0.8661725103E-01
     7  159.0132565      225.9483234      159.0798204      24.43857294      3.288328591      22.88773676     0.8613810019E-01
     8  159.0132565      203.9060130      159.0798204      17.82777232      3.288328591      20.60215553     0.8304995850E-01
     9  159.0132565      206.2755155      159.0798204      22.30402508      3.288328591      25.80941472     0.8065256602E-01
    10  159.0132565      214.3871916      159.0798204      24.61471269      3.288328591      25.53397846     0.8767704697E-01
    11  159.0132565      203.8186073      159.0798204      24.10206817      3.288328591      25.84907432     0.8812846137E-01
    12  159.0132565      215.1270244      159.0798204      22.83078368      3.288328591      20.26491571     0.8505026636E-01
    13  159.0132565      203.1894657      159.0798204      19.80205294      3.288328591      24.71246920     0.8982670396E-01
    14  159.0132565      221.4828565      159.0798204      24.78867712      3.288328591      25.25146723     0.8741339303E-01
    15  159.0132565      230.0566873      159.0798204      24.90584063      3.288328591      24.41998790     0.8689664966E-01
    16  159.0132565      204.6267952      159.0798204      18.03320429      3.288328591      23.76364976     0.8199088306E-01
    17  159.0132565      206.1033234      159.0798204      22.04350717      3.288328591      25.73334803     0.8077163294E-01
    18  159.0132565      206.0726441      159.0798204      22.73602186      3.288328591      25.84960596     0.8883482151E-01
    19  159.0132565      230.3520885      159.0798204      24.89694665      3.288328591      24.33220184     0.8684514292E-01
    20  159.0132565      228.8401666      159.0798204      24.62472450      3.288328591      23.33709705     0.8631704018E-01
    21  159.0132565      205.9821834      159.0798204      22.79676325      3.288328591      25.91812081     0.8049427402E-01
    22  159.0132565      224.7898753      159.0798204      24.85853217      3.288328591      25.04986734     0.8726341433E-01
    23  159.0132565      227.5573031      159.0798204      24.53672150      3.288328591      23.11556993     0.8620460470E-01
    24  159.0132565      206.1033234      159.0798204      22.04350717      3.288328591      25.73334803     0.8079127626E-01
    25  159.0132565      206.3191866      159.0798204      22.36695123      3.288328591      25.76991633     0.8898003444E-01
    26  159.0132565      221.4828565      159.0798204      24.78867712      3.288328591      25.25146723     0.8743883780E-01
    27  159.0132565      204.0013247      159.0798204      21.64756628      3.288328591      18.81058604     0.8454691880E-01
    28  159.0132565      203.5972451      159.0798204      23.64773037      3.288328591      25.97757409     0.8006429323E-01
    29  159.0132565      206.2259298      159.0798204      22.55499692      3.288328591      25.87076156     0.8057623805E-01
    30  159.0132565      211.0634794      159.0798204      22.31464085      3.288328591      19.60238289     0.8483291297E-01
    31  159.0132565      230.5668767      159.0798204      24.88457778      3.288328591      24.24210666     0.8676828327E-01
    32  159.0132565      204.0013247      159.0798204      21.64756628      3.288328591      18.81058604     0.8453699255E-01
    33  159.0132565      203.9794548      159.0798204      18.35564155      3.288328591      19.87790213     0.8323372770E-01
    34  159.0132565      205.4210242      159.0798204      21.56240928      3.288328591      25.51211885     0.8926141789E-01
    35  159.0132565      230.7538638      159.0798204      24.84908745      3.288328591      24.05513983     0.8665050221E-01
    36  159.0132565      213.7307662      159.0798204      22.62887339      3.288328591      20.00033660     0.8499064103E-01
    37  159.0132565      212.7356689      159.0798204      24.57135506      3.288328591      25.58164768     0.8770371316E-01
    38  159.0132565      228.8401666      159.0798204      24.62472450      3.288328591      23.33709705     0.8630714055E-01
    39  159.0132565      203.5315428      159.0798204      20.68614685      3.288328591      17.84535357     0.8411122028E-01
    40  159.0132565      224.7898753      159.0798204      24.85853217      3.288328591      25.04986734     0.8727932019E-01
    41  159.0132565      203.7378191      159.0798204      19.14590603      3.288328591      18.73311014     0.8353451706E-01
    42  159.0132565      206.5007707      159.0798204      21.87545778      3.288328591      19.07356693     0.8462817739E-01
    43  159.0132565      217.7782078      159.0798204      24.01994021      3.288328591      22.05319745     0.8577739029E-01
    44  159.0132565      206.2259298      159.0798204      22.55499692      3.288328591      25.87076156     0.8059852489E-01
    45  159.0132565      204.1960520      159.0798204      21.11677855      3.288328591      25.33426541     0.8940787634E-01
    46  159.0132565      203.2084160      159.0798204      24.02612543      3.288328591      25.86777560     0.8817762174E-01
    47  159.0132565      202.7166310      159.0798204      20.55740486      3.288328591      25.13557041     0.8128859982E-01
    48  159.0132565      220.2207196      159.0798204      24.75958250      3.288328591      25.31356297     0.8749716709E-01
    49  159.0132565      212.0287030      159.0798204      22.42078317      3.288328591      19.73487314     0.8488732388E-01
    50  159.0132565      202.7166310      159.0798204      20.55740486      3.288328591      25.13557041     0.8125245200E-01
    51  159.0132565      203.9652398      159.0798204      19.26793077      3.288328591      24.43024596     0.8996077455E-01
    52  159.0132565      206.2258736      159.0798204      22.17498863      3.288328591      25.77325950     0.8073780254E-01
    53  159.0132565      204.7776337      159.0798204      23.35267262      3.288328591      25.97860144     0.8024721649E-01
    54  159.0132565      213.7307662      159.0798204      22.62887339      3.288328591      20.00033660     0.8496747274E-01
    55  159.0132565      202.8110306      159.0798204      23.77738850      3.288328591      25.90599816     0.8831429369E-01
    56  159.0132565      202.8110306      159.0798204      23.77738850      3.288328591      25.90599816     0.8833400377E-01
    57  159.0132565      202.7180967      159.0798204      20.48086169      3.288328591      25.04721878     0.8960128325E-01
    58  159.0132565      205.9241087      159.0798204      22.85412513      3.288328591      25.86937413     0.8876766422E-01
    59  159.0132565      203.8186073      159.0798204      24.10206817      3.288328591      25.84907432     0.8813258595E-01
    60  159.0132565      202.9756962      159.0798204      21.29593832      3.288328591      18.41844660     0.8437201902E-01
    61  159.0132565      206.1292095      159.0798204      22.67707805      3.288328591      25.89614706     0.8052367053E-01
    62  159.0132565      202.7701481      159.0798204      20.39221985      3.288328591      25.05714008     0.8133052265E-01
    63  159.0132565      204.6657821      159.0798204      17.64121742      3.288328591      23.51841052     0.8209415634E-01
    64  159.0132565      230.1511237      159.0798204      24.73767400      3.288328591      23.65623997     0.8648557185E-01
    65  159.0132565      203.9060130      159.0798204      17.82777232      3.288328591      20.60215553     0.8300616655E-01
    66  159.0132565      206.5007707      159.0798204      21.87545778      3.288328591      19.07356693     0.8464115667E-01
    67  159.0132565      203.6523902      159.0798204      20.18251998      3.288328591      17.94997362     0.8392021538E-01
    68  159.0132565      228.0696151      159.0798204      24.90811472      3.288328591      24.74970484     0.8705988174E-01
    69  159.0132565      217.5960512      159.0798204      23.48135241      3.288328591      21.17737048     0.8543235406E-01
    70  159.0132565      203.6827762      159.0798204      19.53025409      3.288328591      24.62222210     0.8157469766E-01
    71  159.0132565      221.7585059      159.0798204      24.21354853      3.288328591      22.41642901     0.8594354173E-01
    72  159.0132565      203.9914085      159.0798204      18.09152276      3.288328591      20.24381111     0.8310585269E-01
    73  159.0132565      203.5972451      159.0798204      23.64773037      3.288328591      25.97757409     0.8006614701E-01
    74  159.0132565      204.2922617      159.0798204      18.98477871      3.288328591      24.32401886     0.8173277928E-01
    75  159.0132565      203.4623725      159.0798204      17.30307503      3.288328591      21.29168069     0.8282137727E-01
    76  159.0132565      206.2192486      159.0798204      22.61534422      3.288328591      25.82648482     0.8888778204E-01
    77  159.0132565      229.2243381      159.0798204      24.91352113      3.288328591      24.58878686     0.8695267584E-01
    78  159.0132565      203.7364403      159.0798204      19.40786405      3.288328591      18.33726207     0.8362284842E-01
    79  159.0132565      205.7125776      159.0798204      21.70378305      3.288328591      25.56446359     0.8921341443E-01
    80  159.0132565      203.4684233      159.0798204      19.62612289      3.288328591      24.62154491     0.8985631359E-01
    81  159.0132565      215.1270244      159.0798204      22.83078368      3.288328591      20.26491571     0.8506255230E-01
    82  159.0132565      228.8401666      159.0798204      24.62472450      3.288328591      23.33709705     0.8631645654E-01
    83  159.0132565      206.2755155      159.0798204      22.30402508      3.288328591      25.80941472     0.8068509411E-01
    84  159.0132565      202.9756962      159.0798204      21.29593832      3.288328591      18.41844660     0.8437664509E-01
    85  159.0132565      202.2873756      159.0798204      23.86370622      3.288328591      25.89603473     0.8827403156E-01
    86  159.0132565      203.9214364      159.0798204      19.35076627      3.288328591      24.52603723     0.8164843000E-01
    87  159.0132565      216.2163980      159.0798204      23.02599861      3.288328591      20.52813375     0.8516302390E-01
