 Run#  Vfa              Vfb              Vfc              Ifa              Ifb              Ifc              Time                                                               
     1  159.0132565      195.2918409      219.8024719      13.74198229      3.288328591      3.337498880     0.8154606510E-01
     2  159.0132565      192.9949094      203.9795857      18.11836172      3.288328591      3.337498880     0.8471606176E-01
     3  159.0132565      195.5320460      239.1228278      14.82428548      3.288328591      3.337498880     0.8285001721E-01
     4  159.0132565      198.0989967      210.5287212      16.98174368      3.288328591      3.337498880     0.8023923169E-01
     5  159.0132565      192.2946475      213.8591389      15.74700688      3.300922187      3.337498880     0.8076707551E-01
     6  159.0132565      195.2113602      231.5095950      13.48790743      3.288328591      3.337498880     0.8223806731E-01
     7  159.0132565      193.1640692      202.0145913      18.64231019      3.288328591      3.337498880     0.8519720787E-01
     8  159.0132565      195.4416781      212.9355007      14.75744982      3.288328591      3.337498880     0.8947266417E-01
     9  159.0132565      201.8904644      202.3045434      19.00889211      3.288328591      3.337498880     0.8706663790E-01
    10  159.0132565      192.5664456      213.9166039      16.04951491      3.288328591      3.337498880     0.8898318905E-01
    11  159.0132565      193.1889244      213.0674125      16.46137294      3.290988198      3.337498880     0.8045841982E-01
    12  159.0132565      193.4644277      203.9892201      18.05221746      3.288328591      3.337498880     0.8466193892E-01
    13  159.0132565      194.1381267      237.2849406      15.54433230      3.288328591      3.337498880     0.8320739703E-01
    14  159.0132565      193.4511226      203.0023256      19.19295878      3.288328591      3.337498880     0.8672195082E-01
    15  159.0132565      193.4428168      203.4336392      19.13551858      3.288328591      3.337498880     0.8582741696E-01
    16  159.0132565      195.8330406      217.6296851      14.14794493      3.288328591      3.337498880     0.8139687920E-01
    17  159.0132565      205.7898180      203.1585950      18.81078771      3.288328591      3.337498880     0.8734864526E-01
    18  159.0132565      195.0506028      211.9221613      16.72307188      3.288328591      3.337498880     0.8868085779E-01
    19  159.0132565      193.1180316      213.7301995      15.55289613      3.288328591      3.337498880     0.8917682990E-01
    20  159.0132565      191.5384909      203.1855207      18.42331302      3.288328591      3.337498880     0.8498019543E-01
    21  159.0132565      194.3537024      229.0895675      13.28269638      3.288328591      3.337498880     0.8214455453E-01
    22  159.0132565      192.3691783      232.4142087      16.12956725      3.288328591      3.337498880     0.8352796008E-01
    23  159.0132565      194.9813025      203.3301142      17.69220552      3.288328591      3.337498880     0.8442507185E-01
    24  159.0132565      194.8168136      230.3398671      13.38530714      3.288328591      3.337498880     0.8218254636E-01
    25  159.0132565      193.8222006      227.7590679      13.17991018      3.288328591      3.337498880     0.8205669663E-01
    26  159.0132565      198.6897447      202.7306298      19.10205480      3.288328591      3.337498880     0.8690026225E-01
    27  159.0132565      196.2371387      238.6366545      14.50961042      3.288328591      3.337498880     0.8270762099E-01
    28  159.0132565      199.8269102      202.6105266      19.07335151      3.288328591      3.337498880     0.8698591398E-01
    29  159.0132565      195.5370924      232.5982056      13.59014110      3.288328591      3.337498880     0.8225625091E-01
    30  159.0132565      192.8824546      213.7243736      15.62101632      3.302151205      3.337498880     0.8080910108E-01
    31  159.0132565      197.6477263      210.8199225      16.92391827      3.288328591      3.337498880     0.8856186666E-01
    32  159.0132565      194.1637709      213.1813286      15.29400546      3.288328591      3.337498880     0.8929303175E-01
    33  159.0132565      207.2534666      204.6226365      17.99094119      3.288328591      3.337498880     0.8798466782E-01
    34  159.0132565      202.9005076      206.7559772      17.39638409      3.288328591      3.337498880     0.8831212762E-01
    35  159.0132565      192.6646687      223.2880280      12.87164720      3.288328591      3.337498880     0.8192886452E-01
    36  159.0132565      201.0125513      208.6048549      17.21033955      3.288328591      3.337498880     0.8842595650E-01
    37  159.0132565      192.3339322      202.6110695      18.53596544      3.288328591      3.337498880     0.8505094181E-01
    38  159.0132565      195.5723996      213.6453142      14.69228675      3.296863403      3.337498880     0.8117893083E-01
    39  159.0132565      195.1694176      207.5172447      17.45624303      3.288328591      3.337498880     0.8429047257E-01
    40  159.0132565      194.4660294      221.0791917      13.39995560      3.288328591      3.337498880     0.8997254678E-01
    41  159.0132565      197.6477263      210.8199225      16.92391827      3.288328591      3.337498880     0.8859373935E-01
    42  159.0132565      191.5384909      203.1855207      18.42331302      3.288328591      3.337498880     0.8497717167E-01
    43  159.0132565      195.8731876      216.7495366      14.28463900      3.288328591      3.337498880     0.8132418227E-01
    44  159.0132565      194.3900521      202.6455134      18.95235629      3.288328591      3.337498880     0.8553140819E-01
    45  159.0132565      192.7147990      203.1303970      19.25998921      3.288328591      3.337498880     0.8637750484E-01
    46  159.0132565      193.4511226      203.0023256      19.19295878      3.288328591      3.337498880     0.8672390408E-01
    47  159.0132565      195.0506028      211.9221613      16.72307188      3.288328591      3.337498880     0.8865590546E-01
    48  159.0132565      195.4883833      219.4511685      13.80649102      3.288328591      3.337498880     0.8980302452E-01
    49  159.0132565      195.2168166      211.7913728      14.89345135      3.288328591      3.337498880     0.8943312454E-01
